"","X","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat","fact_freq_def","rt_growth","x_var","evo","eco","eco_evo","evo_eco","ln_cr","ln_rt"
"42",511,11,"CR1","CR6",0.8,0.2,9,390,1,5,21.6,1164645.55058824,0.346590909090909,0.653409090909091,"Treatment","0.8",0.63304325649024,403655.56014706,-0.041145935722528,0.00543682179636684,-0.132135086999373,-7.56801257492453,13.9679273502669,3.11794990627824
"43",611,11,"CR1","CR6",0.8,0.2,9,390,1,6,29.8,1104072.39800905,0.52212389380531,0.47787610619469,"Treatment","0.8",0.309564783701289,576462.579491451,NA,NA,NA,NA,13.9145160815758,3.42751468997953
"44",711,11,"CR1","CR6",0.8,0.2,9,390,1,7,44.2,850739.064977375,NA,NA,"Treatment","0.8",0.383582396858657,NA,NA,NA,NA,NA,13.6538607388893,3.81109708683819
"45",811,11,"CR1","CR6",0.8,0.2,9,390,1,8,39.2,952820.512941176,0.166666666666667,0.833333333333333,"Treatment","0.8",-0.11723009121321,158803.41882353,NA,NA,NA,NA,13.7671818259069,3.69386699562498
"46",12,12,"CR1","CR7",0.7,0.3,1,389,1,0,4,385000,0.7,0.3,"Treatment","0.7",NA,269500,0.0507427977140798,-0.248198526118919,-4.89130551132482,-0.204444395813082,12.8609986132699,1.6094379124341
"47",112,12,"CR1","CR7",0.7,0.3,1,389,1,1,4,1728024.13248869,0.539,0.461,"Treatment","0.7",0,931405.007411404,-0.0322773458234852,-0.0530898281535628,1.64480154111477,0.607976084046132,14.3624891938092,1.6094379124341
"48",212,12,"CR1","CR7",0.7,0.3,1,389,1,2,4.4,2041508.29574661,0.596407185628743,0.403592814371257,"Treatment","0.7",0.0769610411361286,1217570.21710397,0.216137194153216,0.0691871582155907,0.320107598725211,3.12394958439717,14.5291994532881,1.68639895357023
"49",312,12,"CR1","CR7",0.7,0.3,1,389,1,3,8.2,1444645.55076923,0.180746561886051,0.819253438113949,"Treatment","0.7",0.532804530484766,261114.716445519,-0.00388240636197368,-0.0246418892379806,6.34706595356327,0.157553113094499,14.183374555854,2.21920348405499
"50",412,12,"CR1","CR7",0.7,0.3,1,389,1,4,10.2,1892006.03294118,0.18854748603352,0.81145251396648,"Treatment","0.7",0.196710294246054,356732.981071313,-0.0765991267767836,0.0368993418517463,-0.481720137088169,-2.07589411986107,14.453148217247,2.41591377830105
"51",512,12,"CR1","CR7",0.7,0.3,1,389,1,5,12.2,1426847.66226244,0.343283582089552,0.656716417910448,"Treatment","0.7",0.164303051291276,489813.376597554,0.0835795384767111,0.0272199789887695,0.325677546022274,3.07052178516356,14.1709781369149,2.58021682959233
"52",612,12,"CR1","CR7",0.7,0.3,1,389,1,6,14.4,1028717.94895928,0.115089514066496,0.884910485933504,"Treatment","0.7",0.154150679827258,118394.648857206,-0.0754107736490717,0.0236199497807474,-0.31321717889627,-3.19267290358673,13.843823875163,2.73436750941958
"53",712,12,"CR1","CR7",0.7,0.3,1,389,1,7,24.8,723438.913846154,0.403636363636364,0.596363636363636,"Treatment","0.7",0.516006982507988,292006.252497902,-0.0837972842694294,-0.0361378425306125,0.431253146753781,2.31882365967045,13.4917713900395,3.25037449192757
"54",812,12,"CR1","CR7",0.7,0.3,1,389,1,8,34.4,934841.629140271,0.742424242424242,0.257575757575758,"Treatment","0.7",0.316337328212157,694049.08830111,NA,NA,NA,NA,13.7481324133257,3.56671182013973
"55",15,15,"CR2","CR7",0.7,0.3,10,386,1,0,4,385000,0.7,0.3,"Treatment","0.7",NA,269500,-0.0312043395523946,0.0148571802545493,-0.476125451384826,-2.10028679855586,12.8609986132699,1.6094379124341
"56",115,15,"CR2","CR7",0.7,0.3,10,386,1,1,5.8,784434.389321267,0.115196078431373,0.884803921568627,"Treatment","0.7",0.307484699747961,90363.7654365189,0.0169023828773312,0.00384132380406671,0.227265222421304,4.40014529872151,13.5727182139054,1.91692261218206
"57",215,15,"CR2","CR7",0.7,0.3,10,386,1,2,7.6,975384.61520362,0.32569558101473,0.67430441898527,"Treatment","0.7",0.234839591077401,317678.458961572,0.0117568011296705,-0.00892077934488868,-0.758776068974699,-1.31791188584961,13.7905871493263,2.15176220325946
"58",315,15,"CR2","CR7",0.7,0.3,10,386,1,3,6,731704.374298642,0.476635514018692,0.523364485981308,"Treatment","0.7",-0.205852054204149,348756.290553559,0.00841431048124151,-0.00190450781659159,-0.226341519110498,-4.41810236111303,13.5031318511222,1.94591014905531
"59",415,15,"CR2","CR7",0.7,0.3,10,386,1,4,10.2,693152.338099547,0.606060606060606,0.393939393939394,"Treatment","0.7",0.470003629245735,420092.326120937,0.0048269493133828,0.0141917060698249,2.94009842416993,0.340124667861188,13.4490050781117,2.41591377830105
"60",515,15,"CR2","CR7",0.7,0.3,10,386,1,5,20.4,936711.915475113,0.670967741935484,0.329032258064516,"Treatment","0.7",0.647477143726757,628503.478770399,-0.00226191808823148,0.0120277119017554,-5.31748340681934,-0.188058884907391,13.7501310598114,3.06339092202781
"61",615,15,"CR2","CR7",0.7,0.3,10,386,1,6,25.4,1136711.91529412,0.647058823529412,0.352941176470588,"Treatment","0.7",0.209973088124465,735519.474602078,-0.00803218853677068,-0.00836523214833368,1.0414636197891,0.960187164485406,13.9436503679759,3.27336401015227
"62",715,15,"CR2","CR7",0.7,0.3,10,386,1,7,30.6,985339.366696832,0.564102564102564,0.435897435897436,"Treatment","0.7",0.179793110440596,555832.463264879,0.0177547929554115,0.00734707554910752,0.413808010465601,2.41657960868094,13.8007413955334,3.45315712059287
"63",815,15,"CR2","CR7",0.7,0.3,10,386,1,8,36,1107873.30298643,0.75,0.25,"Treatment","0.7",0.157760792051358,830904.977239823,NA,NA,NA,NA,13.917952792266,3.61091791264422
"64",16,16,"CR2","CR6",0.8,0.2,8,385,1,0,4,385000,0.8,0.2,"Treatment","0.8",NA,308000,-0.482987149246375,0.221264363935709,-0.458116461858162,-2.18285105045977,12.8609986132699,1.6094379124341
"65",116,16,"CR2","CR6",0.8,0.2,8,385,1,1,2,899426.847420814,0.0536723163841808,0.946327683615819,"Treatment","0.8",-0.51082562376599,48274.3223191962,0.640799419133961,-0.0103991551203191,-0.016228409093088,-61.620334702181,13.709513003241,1.09861228866811
"66",216,16,"CR2","CR6",0.8,0.2,8,385,1,2,6,874389.140090498,0.770668583752696,0.229331416247304,"Treatment","0.8",0.847297860387203,673864.240242282,-0.428114612018216,-0.095758409113299,0.223674703981429,4.47077824268866,13.6812807959257,1.94591014905531
"67",316,16,"CR2","CR6",0.8,0.2,8,385,1,3,5,683559.577737557,0.225274725274725,0.774725274725275,"Treatment","0.8",-0.154150679827258,153988.696083735,0.363232210378702,0.120992287674033,0.333099004485003,3.00211044324818,13.4350690970205,1.79175946922805
"68",416,16,"CR2","CR6",0.8,0.2,8,385,1,4,9.6,953061.84,0.665768194070081,0.334231805929919,"Treatment","0.8",0.569094531889967,634518.260053908,-0.169591124797856,-0.0387182569079909,0.228303556298368,4.38013325860377,13.7674350703527,2.36085400111802
"69",516,16,"CR2","CR6",0.8,0.2,8,385,1,5,14,886153.846153846,0.482758620689655,0.517241379310345,"Treatment","0.8",0.347196199984189,427798.408488063,0.282935747983839,0.204341538392846,0.722218877780399,1.38462179647437,13.6946458557705,2.70805020110221
"70",616,16,"CR2","CR6",0.8,0.2,8,385,1,6,24,1215143.2881448,0.75,0.25,"Treatment","0.8",0.51082562376599,911357.4661086,-0.00610326588550131,0.0307681548046712,-5.04126075807427,-0.198363077807146,14.0103725604327,3.2188758248682
"71",716,16,"CR2","CR6",0.8,0.2,8,385,1,7,36.2,1255987.93357466,0.745098039215686,0.254901960784314,"Treatment","0.8",0.397432936410901,935834.14658504,0.0605010538018316,-0.252874015577336,-4.17966299241023,-0.239253739312447,14.0434330189376,3.6163087612791
"72",816,16,"CR2","CR6",0.8,0.2,8,385,1,8,44,931161.387692308,0.8,0.2,"Treatment","0.8",0.190353728491218,744929.110153846,NA,NA,NA,NA,13.7441878899926,3.80666248977032
"73",21,21,"CR1","CR6",0.6,0.4,8,380,1,0,4,385000,0.6,0.4,"Treatment","0.6",NA,231000,-0.0335941727083359,0.0436184064402703,-1.2983920401602,-0.770183403062621,12.8609986132699,1.6094379124341
