"","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat"
"355",55,"CR2","CR6",0.8,0.2,5,346,1,3,2.2,734479.638190045,0.194931773879142,0.805068226120858,"Treatment"
"357",57,"CR2","CR6",0.8,0.2,3,344,1,3,4.4,664434.389321267,0.2,0.8,"Treatment"
"358",58,"CR1","CR6",0.8,0.2,8,343,1,3,9.6,1640241.32742081,0.056,0.944,"Treatment"
"360",60,"CR2","CR6",0.7,0.3,6,341,1,3,5.6,878612.367963801,0.211428571428571,0.788571428571429,"Treatment"
"361",61,"CR1","CR6",0.9,0.1,9,340,1,3,4.8,1645791.85520362,0.0527859237536657,0.947214076246334,"Treatment"
"363",63,"CR2","CR6",0.6,0.4,8,338,1,3,4.4,989622.926334842,0.0635593220338983,0.936440677966102,"Treatment"
"365",65,"CR1","CR7",0.8,0.2,6,336,1,3,4,1381417.79782805,0.0938628158844765,0.906137184115523,"Treatment"
"369",69,"CR1","CR6",0.6,0.4,1,332,1,3,NA,2473.60482678733,NA,NA,"Treatment"
"370",70,"CR1","CR7",0.9,0.1,5,331,1,3,NA,2171.94570135747,NA,NA,"Treatment"
"371",71,"CR1","CR6",0.8,0.2,2,330,1,3,1.6,1391131.22171946,0.0422039859320047,0.957796014067995,"Treatment"
"376",76,"CR2","CR6",0.9,0.1,3,325,1,3,3.2,584132.730135747,0.30398322851153,0.69601677148847,"Treatment"
"377",77,"CR2","CR6",0.9,0.1,6,324,1,3,3.2,423046.757158371,0.32020202020202,0.67979797979798,"Treatment"
"380",80,"CR2","CR7",0.7,0.3,4,321,1,3,8,582624.43438914,0.504992867332382,0.495007132667618,"Treatment"
"383",83,"CR2","CR7",0.9,0.1,8,318,1,3,6.6,652488.687963801,0.614068441064639,0.385931558935361,"Treatment"
"384",84,"CR1","CR7",0.7,0.3,2,317,1,3,4,1566334.84180995,0.127,0.873,"Treatment"
"385",85,"CR2","CR6",0.7,0.3,10,316,1,3,2.8,678914.026968326,0.306,0.694,"Treatment"
"386",86,"CR1","CR6",0,1,8,315,1,3,3,3378.58220199095,NA,NA,"Control"
"387",87,"CR2","CR6",0.6,0.4,2,314,1,3,4.6,956259.42678733,0.211711711711712,0.788288288288288,"Treatment"
"390",90,"CR1","CR7",0.6,0.4,1,311,1,3,3.2,1824132.72977376,NA,NA,"Treatment"
"391",91,"CR1","CR6",0.6,0.4,9,310,1,3,4,1569894.41918552,0.018,0.982,"Treatment"
"395",95,"CR2","CR6",0.7,0.3,2,306,1,3,3.8,704132.730135747,NA,NA,"Treatment"
"396",96,"CR1","CR6",0.8,0.2,7,305,1,3,3,2144615.38479638,NA,NA,"Treatment"
"397",97,"CR1","CR6",0.6,0.4,6,304,1,3,4,1714389.1400905,NA,NA,"Treatment"
"400",100,"CR1","CR7",0.7,0.3,10,301,1,3,0,1855686.27475113,NA,NA,"Treatment"
"401",1,"CR1","CR6",0,1,3,400,1,4,13.4,1769230.76904977,NA,NA,"Control"
