Kc1,Kc2,P1,P2,dist,run,start_freq,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
1,3.121212121,0.9,0.687878788,71,71,0.6,2.648558203,0,0.303030303,1,0.696969697,2.131791798,1
1,3.051515152,0.9,0.694848485,72,72,0.6,2.646954145,0,0.293073593,1,0.706926407,2.061747211,1
1,2.981818182,0.9,0.701818182,73,73,0.6,2.597652292,0,0.283116883,1,0.716883117,1.991702623,1
1,2.912121212,0.9,0.708787879,74,74,0.6,2.560725581,0,0.273160173,1,0.726839827,1.921658035,1
1,2.842424242,0.9,0.715757576,75,75,0.6,2.544987971,0,0.263203463,1,0.736796537,1.851613448,1
1,2.772727273,0.9,0.722727273,76,76,0.6,2.515033615,0,0.253246753,1,0.746753247,1.78156886,1
1,2.703030303,0.9,0.72969697,77,77,0.6,2.475685317,0,0.243290043,1,0.756709957,1.711524272,1
1,2.633333333,0.9,0.736666667,78,78,0.6,2.410863681,0,0.233333333,1,0.766666667,1.641479685,1
1,2.563636364,0.9,0.743636364,79,79,0.6,2.344663614,0,0.223376623,1,0.776623377,1.571435097,1
1,2.493939394,0.9,0.750606061,80,80,0.6,2.348228982,0,0.213419913,1,0.786580087,1.501390509,1
1,2.424242424,0.9,0.757575758,81,81,0.6,2.319911718,0,0.203463203,1,0.796536797,1.431345922,1
1,2.354545455,0.9,0.764545455,82,82,0.6,2.216240819,0,0.193506494,1,0.806493506,1.361301334,1
1,2.284848485,0.9,0.771515152,83,83,0.6,2.153686565,0,0.183549784,1,0.816450216,1.291256746,1
1,2.215151515,0.9,0.778484848,84,84,0.6,2.144046414,0,0.173593074,1,0.826406926,1.221212159,1
1,2.145454545,0.9,0.785454545,85,85,0.6,2.21316141,0,0.163636364,1,0.836363636,1.151167571,1
1,2.075757576,0.9,0.792424242,86,86,0.6,1.992346117,0,0.153679654,1,0.846320346,1.081122983,1
1,2.006060606,0.9,0.799393939,87,87,0.6,1.911815739,0,0.143722944,1,0.856277056,1.011078396,1
1,1.936363636,0.9,0.806363636,88,88,0.6,1.902136388,0,0.133766234,1,0.866233766,0.941033808,1
1,1.866666667,0.9,0.813333333,89,89,0.6,1.793797645,0,0.123809524,1,0.876190476,0.87098922,1
1,1.796969697,0.9,0.82030303,90,90,0.6,1.65940134,0,0.113852814,1,0.886147186,0.800944633,1
1,1.727272727,0.9,0.827272727,91,91,0.6,1.559414248,0,0.103896104,1,0.896103896,0.730900045,1
1,1.657575758,0.9,0.834242424,92,92,0.6,1.469353936,0,0.093939394,1,0.906060606,0.660855458,1
1,1.587878788,0.9,0.841212121,93,93,0.6,1.339844191,0,0.083982684,1,0.916017316,0.59081087,1
1,1.518181818,0.9,0.848181818,94,94,0.6,1.193430483,0,0.074025974,1,0.925974026,0.520766282,1
1,1.448484848,0.9,0.855151515,95,95,0.6,1.04457584,0,0.064069264,1,0.935930736,0.450721695,1
1,1.378787879,0.9,0.862121212,96,96,0.6,0.864447494,0,0.054112554,1,0.945887446,0.380677107,1
1,1.309090909,0.9,0.869090909,97,97,0.6,0.643781938,0,0.044155844,1,0.955844156,0.310632519,1
1,1.239393939,0.9,0.876060606,98,98,0.6,0.335688789,0,0.034199134,1,0.965800866,0.240587932,1
1,1.16969697,0.9,0.883030303,99,99,0.6,-0.066440921,0,0.024242424,1,0.975757576,0.170543344,1
