Kc1,Kc2,P1,P2,dist,run,start_freq,ln_eco_evo,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
2,4.007070707,0.8,0.599292929,68,68,0.6,NA,2.675930635,0,0.334511785,1,0.665488215,2.017081097,2
2,3.947474747,0.8,0.605252525,69,69,0.6,NA,2.595000347,0,0.324579125,1,0.675420875,1.957187899,2
2,3.887878788,0.8,0.611212121,70,70,0.6,NA,2.557144652,0,0.314646465,1,0.685353535,1.897294701,2
2,3.828282828,0.8,0.617171717,71,71,0.6,NA,2.534925032,0,0.304713805,1,0.695286195,1.837401502,2
2,3.768686869,0.8,0.623131313,72,72,0.6,NA,2.47774326,0,0.294781145,1,0.705218855,1.777508304,2
2,3.709090909,0.8,0.629090909,73,73,0.6,NA,2.438957957,0,0.284848485,1,0.715151515,1.717615106,2
2,3.649494949,0.8,0.635050505,74,74,0.6,NA,2.409596548,0,0.274915825,1,0.725084175,1.657721908,2
2,3.58989899,0.8,0.641010101,75,75,0.6,NA,2.431412296,0,0.264983165,1,0.735016835,1.59782871,2
2,3.53030303,0.8,0.646969697,76,76,0.6,NA,2.389866986,0,0.255050505,1,0.744949495,1.537935512,2
2,3.470707071,0.8,0.652929293,77,77,0.6,NA,2.291491474,0,0.245117845,1,0.754882155,1.478042314,2
2,3.411111111,0.8,0.658888889,78,78,0.6,NA,2.237031955,0,0.235185185,1,0.764814815,1.418149115,2
2,3.351515152,0.8,0.664848485,79,79,0.6,NA,2.172397193,0,0.225252525,1,0.774747475,1.358255917,2
2,3.291919192,0.8,0.670808081,80,80,0.6,NA,2.168506438,0,0.215319865,1,0.784680135,1.298362719,2
2,3.232323232,0.8,0.676767677,81,81,0.6,NA,2.071352465,0,0.205387205,1,0.794612795,1.238469521,2
2,3.172727273,0.8,0.682727273,82,82,0.6,NA,1.997908717,0,0.195454545,1,0.804545455,1.178576323,2
2,3.113131313,0.8,0.688686869,83,83,0.6,NA,1.887899888,0,0.185521886,1,0.814478114,1.118683125,2
2,3.053535354,0.8,0.694646465,84,84,0.6,NA,1.814768864,0,0.175589226,1,0.824410774,1.058789927,2
2,2.993939394,0.8,0.700606061,85,85,0.6,NA,1.733086332,0,0.165656566,1,0.834343434,0.998896728,2
2,2.934343434,0.8,0.706565657,86,86,0.6,NA,1.647304829,0,0.155723906,1,0.844276094,0.93900353,2
2,2.874747475,0.8,0.712525253,87,87,0.6,NA,1.571119653,0,0.145791246,1,0.854208754,0.879110332,2
2,2.815151515,0.8,0.718484848,88,88,0.6,NA,1.516920407,0,0.135858586,1,0.864141414,0.819217134,2
2,2.755555556,0.8,0.724444444,89,89,0.6,NA,1.411301602,0,0.125925926,1,0.874074074,0.759323936,2
2,2.695959596,0.8,0.73040404,90,90,0.6,NA,1.332333638,0,0.115993266,1,0.884006734,0.699430738,2
2,2.636363636,0.8,0.736363636,91,91,0.6,NA,1.274766845,0,0.106060606,1,0.893939394,0.63953754,2
2,2.576767677,0.8,0.742323232,92,92,0.6,NA,1.235185569,0,0.096127946,1,0.903872054,0.579644341,2
